,,,,radius,radius,silhouette,silhouette,ari,ari,tempo,tempo
,,,,mean,std,mean,std,mean,std,mean,std
dataset_name,algoritmo,metrica,eps,,,,,,,,
Power Plant,intervalo,minkowski,0.05,43.68999999999991,0.0,0.2114168465582326,0.0,0.1837858443545336,0.0,0.0012861933333624133,4.322856969401911e-05
Power Plant,intervalo,minkowski,0.1,49.529999999999966,0.0,0.2093271087628969,0.0,0.1708470092951716,0.0,0.00148485333329512,0.0013762547634898216
Power Plant,intervalo,minkowski,0.15,59.15999999999996,0.0,0.3608672945187793,0.0,0.0878133479220639,0.0,0.0010512733332385467,0.00017674239311062676
Power Plant,intervalo,minkowski,0.25,59.15999999999996,0.0,0.3608672945187793,0.0,0.0878133479220639,0.0,0.0009184332667245533,0.00033035787988941
Rice,intervalo,euclidiana,0.01,7066.011042973542,0.0,0.3589642128437486,0.0,-0.0071683328607056,0.0,0.0011712866667342268,0.00016026090279705187
Rice,intervalo,euclidiana,0.05,7066.011042973542,0.0,0.3589642128437486,0.0,-0.0071683328607056,0.0,0.00115788000002788,0.0004683211569195412
Rice,intervalo,euclidiana,0.1,7066.011042973542,0.0,0.3589642128437486,0.0,-0.0071683328607056,0.0,0.0009807533333513934,0.00011298948665816525
Rice,intervalo,euclidiana,0.15,7066.011042973542,0.0,0.3589642128437486,0.0,-0.0071683328607056,0.0,0.00097289999997272,0.0002652608904877262
Rice,intervalo,euclidiana,0.25,7066.011042973542,0.0,0.3589642128437486,0.0,-0.0071683328607056,0.0,0.00107343333338572,0.0009313270950904759
Rice,intervalo,mahalanobis,0.01,9.565621126168768,0.0,-0.077970666834791,0.0,0.0050137867474436,0.0,0.0014359466667276867,0.0014450480702810188
Rice,intervalo,mahalanobis,0.05,9.770598965552292,0.0,-1.0,0.0,0.0,0.0,0.0009937266667596066,0.0001997166151800747
Rice,intervalo,mahalanobis,0.1,9.770598965552292,0.0,-1.0,0.0,0.0,0.0,0.0008517466666792467,5.871886851896272e-05
Rice,intervalo,mahalanobis,0.15,9.770598965552292,0.0,-1.0,0.0,0.0,0.0,0.0008217999999335733,5.4730560801639975e-05
Rice,intervalo,mahalanobis,0.25,9.770598965552292,0.0,-1.0,0.0,0.0,0.0,0.0008112933333601334,0.00013999092041393668
Rice,intervalo,minkowski,0.01,10105.333435568,0.0,0.3603896772794375,0.0,-0.0071278761248388,0.0,0.00196955333334088,0.0031406143213208197
Rice,intervalo,minkowski,0.05,10105.333435568,0.0,0.3603896772794375,0.0,-0.0071278761248388,0.0,0.0014675399333099865,0.0011298189663371727
Rice,intervalo,minkowski,0.1,10105.333435568,0.0,0.3603896772794375,0.0,-0.0071278761248388,0.0,0.0015348266667084335,0.002025934982562751
Rice,intervalo,minkowski,0.15,10105.333435568,0.0,0.3603896772794375,0.0,-0.0071278761248388,0.0,0.00092397333337426,7.554711361049098e-05
Rice,intervalo,minkowski,0.25,10105.333435568,0.0,0.3603896772794375,0.0,-0.0071278761248388,0.0,0.0008670800001102933,6.251545188468617e-05
Spambase,intervalo,euclidiana,0.01,5899.001878547337,0.0,0.9717712217705977,0.0,0.0007960761109238,0.0,0.00105121999998418,4.232149408464922e-05
Spambase,intervalo,euclidiana,0.05,5899.001878547337,0.0,0.9717712217705977,0.0,0.0007960761109238,0.0,0.0012103200000637465,0.0009657857076896556
Spambase,intervalo,euclidiana,0.1,5899.001878547337,0.0,0.9717712217705977,0.0,0.0007960761109238,0.0,0.0009158466666727799,3.493244233320484e-05
Spambase,intervalo,euclidiana,0.15,5899.001878547337,0.0,0.9717712217705977,0.0,0.0007960761109238,0.0,0.0010083200000129,0.0005684329815381182
Spambase,intervalo,euclidiana,0.25,5899.001878547337,0.0,0.9717712217705977,0.0,0.0007960761109238,0.0,0.00081872666669364,7.150357096805444e-05
Spambase,intervalo,mahalanobis,0.01,30.99902362558712,0.0,0.6512508586521647,0.0,-0.0005694060690484,0.0,0.0012087333334117134,0.0004916434707487717
Spambase,intervalo,mahalanobis,0.05,31.68625773827482,0.0,-1.0,0.0,0.0,0.0,0.00090554000001546,6.97453818281396e-05
Spambase,intervalo,mahalanobis,0.1,31.68625773827482,0.0,-1.0,0.0,0.0,0.0,0.00083678666666548,4.178858137033103e-05
Spambase,intervalo,mahalanobis,0.15,31.68625773827482,0.0,-1.0,0.0,0.0,0.0,0.0008009933332989733,0.0001404349745959792
Spambase,intervalo,mahalanobis,0.25,31.68625773827482,0.0,-1.0,0.0,0.0,0.0,0.0007427600000179267,3.899613173726734e-05
Spambase,intervalo,minkowski,0.01,5905.611,0.0,0.9717712217705977,0.0,0.0007960761109238,0.0,0.0010953200000585132,0.00011855202707206463
Spambase,intervalo,minkowski,0.05,5905.611,0.0,0.9717712217705977,0.0,0.0007960761109238,0.0,0.0010129733333390334,0.0001530812830616984
Spambase,intervalo,minkowski,0.1,5905.611,0.0,0.9717712217705977,0.0,0.0007960761109238,0.0,0.0009407666666143933,9.671332208038764e-05
Spambase,intervalo,minkowski,0.15,5905.611,0.0,0.9717712217705977,0.0,0.0007960761109238,0.0,0.0008818133334594734,5.158313497058139e-05
Spambase,intervalo,minkowski,0.25,5905.611,0.0,0.9717712217705977,0.0,0.0007960761109238,0.0,0.0008559466666155867,8.245196758174326e-05
Wine Quality,intervalo,euclidiana,0.01,57.56482198736395,0.0,0.4571208297494847,0.0,-0.0093178580103446,0.0,0.0016166466666617935,0.00042468178818485803
Wine Quality,intervalo,euclidiana,0.05,58.34982812403478,0.0,0.3884254169428971,0.0,-0.0082545284658428,0.0,0.0016390066667554,0.0013565115730259198
Wine Quality,intervalo,euclidiana,0.1,58.34982812403478,0.0,0.3884254169428971,0.0,-0.0082545284658428,0.0,0.0011557932666618799,5.755368842251142e-05
Wine Quality,intervalo,euclidiana,0.15,58.34982812403478,0.0,0.3884254169428971,0.0,-0.0082545284658428,0.0,0.00112727326662324,0.00031885955174189317
Wine Quality,intervalo,euclidiana,0.25,120.63002624109971,0.0,0.4215415900313122,0.0,-0.0020119502295567,0.0,0.0009570266666741668,0.0004249881115975951
Wine Quality,intervalo,mahalanobis,0.01,8.141761662805209,0.0,-0.1355298059974044,0.0,0.0161730039861739,0.0,0.0013790866666870667,9.949610805688458e-05
Wine Quality,intervalo,mahalanobis,0.05,8.667223658987076,0.0,-0.3990096780629168,0.0,-0.0107152945637738,0.0,0.00163340666658764,0.0019073950547768286
Wine Quality,intervalo,mahalanobis,0.1,8.667223658987076,0.0,-0.4246422445121876,0.0,0.0063941290510267,0.0,0.001087973333324,9.558932592900875e-05
Wine Quality,intervalo,mahalanobis,0.15,10.379397772047708,0.0,-0.4134087573023415,0.0,0.0009200114681432,0.0,0.0013075733332697933,0.0012988307442301321
Wine Quality,intervalo,mahalanobis,0.25,13.157558884254348,0.0,-1.0,0.0,0.0,0.0,0.00112663999998398,0.0009687226130746858
Wine Quality,intervalo,minkowski,0.01,86.19763000000002,0.0,0.4530093873334351,0.0,-0.0050158566998624,0.0,0.0022866732666746202,0.0016652811922553822
Wine Quality,intervalo,minkowski,0.05,86.76839999999999,0.0,0.3643444984468338,0.0,-0.0101660137976144,0.0,0.0013590399999277867,0.000259646437616456
Wine Quality,intervalo,minkowski,0.1,86.76839999999999,0.0,0.3643444984468338,0.0,-0.0101660137976144,0.0,0.0013954466666290866,0.0008915391465908598
Wine Quality,intervalo,minkowski,0.15,86.76839999999999,0.0,0.3643444984468338,0.0,-0.0101660137976144,0.0,0.0010710266666743534,0.0001383555175921897
Wine Quality,intervalo,minkowski,0.25,152.61438,0.0,0.4209512512780943,0.0,0.0001040783189648,0.0,0.0009707666666447667,0.00044918760589100624
anisotropic_0,intervalo,euclidiana,0.01,3.9019662160464086,0.0,0.6380850676211713,0.0,0.8386615436197297,0.0,0.0011645199999899066,7.395350077204505e-05
anisotropic_0,intervalo,euclidiana,0.05,3.9019662160464086,0.0,0.5786815846346939,0.0,0.7595375744373967,0.0,0.0011645133333634333,0.000700431796256111
anisotropic_0,intervalo,euclidiana,0.1,3.9019662160464086,0.0,0.5786815846346939,0.0,0.7595375744373967,0.0,0.0010267933333428,0.00044818183723325606
anisotropic_0,intervalo,euclidiana,0.15,3.9019662160464086,0.0,0.5786815846346939,0.0,0.7595375744373967,0.0,0.0009426733333081067,0.0005716350265309002
anisotropic_0,intervalo,euclidiana,0.25,5.114237086257833,0.0,0.7392396428051246,0.0,0.3324979114452798,0.0,0.0009346400000443199,0.0011202890238446988
anisotropic_0,intervalo,mahalanobis,0.01,0.8706416401837639,0.0,0.7195693647547944,0.0,1.0,0.0,0.00170404013333604,0.0021674894011205165
anisotropic_0,intervalo,mahalanobis,0.05,0.8706416401837639,0.0,0.7195693647547944,0.0,1.0,0.0,0.0013730400666948266,0.0012552645166735593
anisotropic_0,intervalo,mahalanobis,0.1,0.8706416401837639,0.0,0.7195693647547944,0.0,1.0,0.0,0.0008985533333543001,5.7714653523892415e-05
anisotropic_0,intervalo,mahalanobis,0.15,0.8706416401837639,0.0,0.7195693647547944,0.0,1.0,0.0,0.0008062533332728134,3.576831931508879e-05
anisotropic_0,intervalo,mahalanobis,0.25,1.6653623261886856,0.0,0.6450179610392862,0.0,0.7135173897454284,0.0,0.0007558933332802133,0.00032181806864311666
anisotropic_0,intervalo,minkowski,0.01,5.251816616055029,0.0,0.7183735851141827,0.0,0.9966624826041088,0.0,0.0011773000000175333,0.000153100009316963
anisotropic_0,intervalo,minkowski,0.05,6.161935060687879,0.0,0.7392396428051246,0.0,0.3324979114452798,0.0,0.0011104866667058333,0.0005184513903130313
anisotropic_0,intervalo,minkowski,0.1,6.161935060687879,0.0,0.7392396428051246,0.0,0.3324979114452798,0.0,0.0007984799999575733,4.088983807787938e-05
anisotropic_0,intervalo,minkowski,0.15,6.161935060687879,0.0,0.7392396428051246,0.0,0.3324979114452798,0.0,0.0009950466666547068,0.0010378534199541028
anisotropic_0,intervalo,minkowski,0.25,6.161935060687879,0.0,0.7392396428051246,0.0,0.3324979114452798,0.0,0.0007642666666772999,0.0004349685566311545
anisotropic_1,intervalo,euclidiana,0.01,3.667119360642792,0.0,0.7041066980923399,0.0,0.6397704896562988,0.0,0.0012642666666275533,0.0003417821855781895
anisotropic_1,intervalo,euclidiana,0.05,3.940642512198701,0.0,0.8010756530078864,0.0,0.7078205867316142,0.0,0.0012656999999610733,0.0007354832492258843
anisotropic_1,intervalo,euclidiana,0.1,3.940642512198701,0.0,0.8010756530078864,0.0,0.7078205867316142,0.0,0.0008733200000581467,6.990914712936503e-05
anisotropic_1,intervalo,euclidiana,0.15,3.940642512198701,0.0,0.8010756530078864,0.0,0.7078205867316142,0.0,0.00075417333343158,4.147461304186017e-05
anisotropic_1,intervalo,euclidiana,0.25,9.1981716069069,0.0,0.6767779594346325,0.0,0.3753837536461184,0.0,0.0006437200000011934,2.30974085912356e-05
anisotropic_1,intervalo,mahalanobis,0.01,2.281797445523242,0.0,0.01855898735836,0.0,0.3285156710819619,0.0,0.0013462399999904133,0.0005236243197771249
