dataset_idx,dataset_name,dataset_tipo,n_samples,n_features,k,metrica,p,algoritmo,eps,run,radius,silhouette,ari,tempo
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.25,13,4.879565870814877,0.8278455524506478,nan,0.0007559999999102729
0,blobs,blobs,800,2,5,euclidiana,2,kmeans,,13,nan,0.7659686024380011,nan,0.0777471979999973
0,blobs,blobs,800,2,5,euclidiana,2,gonzalez,,14,3.0558751979942227,0.7631248207580491,nan,7.860000005166512e-05
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.01,14,2.484488766588765,0.7659686024380011,nan,0.0011752000000342377
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.05,14,2.484488766588765,0.7659686024380011,nan,0.0009704999999939901
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.1,14,2.484488766588765,0.7659686024380011,nan,0.0010249000001749664
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.15,14,5.00759761631185,0.8278455524506478,nan,0.0008174000001872628
0,blobs,blobs,800,2,5,euclidiana,2,intervalo,0.25,14,4.879565870814877,0.8278455524506478,nan,0.0006819000000177766
0,blobs,blobs,800,2,5,euclidiana,2,kmeans,,14,nan,0.7659686024380011,nan,0.08345669799996358
0,blobs,blobs,800,2,5,minkowski,1,gonzalez,,0,3.763802064432042,0.7631248207580491,nan,0.00011770000014621473
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.01,0,3.4173423645047456,0.7659686024380011,nan,0.0012210999998387706
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.05,0,3.4173423645047456,0.7659686024380011,nan,0.0009989000000132364
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.1,0,3.4173423645047456,0.7659686024380011,nan,0.0010222999999314197
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.15,0,6.885411981978272,0.8278455524506478,nan,0.0013071999999283435
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.25,0,13.56699911427727,0.7205295637217932,nan,0.006722598999886031
0,blobs,blobs,800,2,5,minkowski,1,kmeans,,0,nan,0.7659686024380011,nan,0.0755809990000671
0,blobs,blobs,800,2,5,minkowski,1,gonzalez,,1,3.763802064432042,0.7631248207580491,nan,5.779999992228113e-05
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.01,1,3.4173423645047456,0.7659686024380011,nan,0.0018394999999600259
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.05,1,3.4173423645047456,0.7659686024380011,nan,0.000998100000060731
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.1,1,3.4173423645047456,0.7659686024380011,nan,0.0009264000000257511
0,blobs,blobs,800,2,5,minkowski,1,intervalo,0.15,1,6.885411981978272,0.8278455524506478,nan,0.0008017000000108965
